,nB/n0,sigma field (MeV),rho field (MeV),omega field (MeV),phi field (MeV),Neutron kF (MeV),Proton kF (MeV),electron kF (MeV),muon kF (MeV),Lambda kF (MeV),Neutron frac,Proton frac,electron frac,muon frac,Lambda frac
520,5.47000000,65.35301098,-16.78340293,81.26741410,-8.49844137,460.79350449,306.80177573,254.45181774,231.48232147,399.34541609,0.51385424,0.15166819,0.08652420,0.06514399,0.33447758
521,5.48000000,65.40613318,-16.78740791,81.39195824,-8.53399970,460.87047576,306.91711518,254.53962222,231.57883513,399.90160810,0.51317362,0.15156223,0.08645574,0.06510649,0.33526415
522,5.49000000,65.45916906,-16.79139803,81.51647221,-8.56958318,460.94722562,307.03214268,254.62719161,231.67508348,400.45664903,0.51249484,0.15145632,0.08638736,0.06506896,0.33604884
523,5.50000000,65.51211884,-16.79537338,81.64095609,-8.60519173,461.02375496,307.14685936,254.71452676,231.77106753,401.01054511,0.51181787,0.15135047,0.08631905,0.06503141,0.33683166
524,5.51000000,65.56498276,-16.79933401,81.76540997,-8.64082528,461.10006468,307.26126636,254.80162853,231.86678827,401.56330255,0.51114271,0.15124467,0.08625082,0.06499385,0.33761262
525,5.52000000,65.61776102,-16.80328001,81.88983394,-8.67648375,461.17615562,307.37536482,254.88849776,231.96224669,402.11492747,0.51046936,0.15113892,0.08618265,0.06495627,0.33839172
526,5.53000000,65.67045385,-16.80721144,82.01422809,-8.71216708,461.25202868,307.48915587,254.97513527,232.05744377,402.66542597,0.50979780,0.15103323,0.08611456,0.06491867,0.33916897
527,5.54000000,65.72306147,-16.81112837,82.13859250,-8.74787519,461.32768469,307.60264062,255.06154191,232.15238048,403.21480408,0.50912803,0.15092759,0.08604654,0.06488105,0.33994438
528,5.55000000,65.77558409,-16.81503087,82.26292727,-8.78360801,461.40312454,307.71582018,255.14771850,232.24705779,403.76306777,0.50846005,0.15082201,0.08597859,0.06484342,0.34071795
529,5.56000000,65.82802194,-16.81891900,82.38723248,-8.81936546,461.47834905,307.82869567,255.23366585,232.34147668,404.31022297,0.50779383,0.15071648,0.08591071,0.06480577,0.34148969
530,5.57000000,65.88037523,-16.82279284,82.51150821,-8.85514747,461.55335909,307.94126818,255.31938480,232.43563809,404.85627555,0.50712938,0.15061101,0.08584290,0.06476810,0.34225961
531,5.58000000,65.93264418,-16.82665245,82.63575456,-8.89095397,461.62815549,308.05353881,255.40487615,232.52954298,405.40123134,0.50646669,0.15050559,0.08577517,0.06473042,0.34302772
532,5.59000000,65.98482899,-16.83049789,82.75997161,-8.92678489,461.70273909,308.16550864,255.49014070,232.62319230,405.94509610,0.50580576,0.15040023,0.08570750,0.06469273,0.34379401
533,5.60000000,66.03692990,-16.83432924,82.88415944,-8.96264016,461.77711071,308.27717876,255.57517927,232.71658699,406.48787555,0.50514656,0.15029493,0.08563991,0.06465501,0.34455851
534,5.61000000,66.08894709,-16.83814656,83.00831814,-8.99851971,461.85127119,308.38855024,255.65999265,232.80972798,407.02957537,0.50448910,0.15018968,0.08557239,0.06461729,0.34532122
535,5.62000000,66.14088081,-16.84194991,83.13244779,-9.03442346,461.92522134,308.49962416,255.74458164,232.90261621,407.57020118,0.50383337,0.15008449,0.08550494,0.06457955,0.34608213
536,5.63000000,66.19273124,-16.84573936,83.25654848,-9.07035135,461.99896199,308.61040157,255.82894702,232.99525260,408.10975855,0.50317937,0.14997936,0.08543757,0.06454180,0.34684127
537,5.64000000,66.24449861,-16.84951497,83.38062029,-9.10630331,462.07249393,308.72088353,255.91308959,233.08763807,408.64825300,0.50252708,0.14987429,0.08537026,0.06450403,0.34759863
538,5.65000000,66.29618312,-16.85327681,83.50466330,-9.14227926,462.14581798,308.83107110,255.99701012,233.17977354,409.18569002,0.50187649,0.14976928,0.08530303,0.06446625,0.34835423
539,5.66000000,66.34778499,-16.85702494,83.62867760,-9.17827915,462.21893493,308.94096531,256.08070939,233.27165992,409.72207504,0.50122761,0.14966432,0.08523587,0.06442846,0.34910806
540,5.67000000,66.39930442,-16.86075943,83.75266327,-9.21430289,462.29184559,309.05056722,256.16418818,233.36329811,410.25741344,0.50058042,0.14955943,0.08516878,0.06439065,0.34986015
541,5.68000000,66.45074162,-16.86448034,83.87662039,-9.25035043,462.36455074,309.15987785,256.24744724,233.45468901,410.79171057,0.49993492,0.14945459,0.08510176,0.06435284,0.35061049
542,5.69000000,66.50209680,-16.86818772,84.00054904,-9.28642170,462.43705117,309.26889823,256.33048736,233.54583351,411.32497172,0.49929110,0.14934982,0.08503481,0.06431501,0.35135908
543,5.70000000,66.55337016,-16.87188165,84.12444930,-9.32251662,462.50934767,309.37762938,256.41330928,233.63673251,411.85720214,0.49864895,0.14924510,0.08496793,0.06427717,0.35210595
544,5.71000000,66.60456192,-16.87556218,84.24832125,-9.35863513,462.58144100,309.48607232,256.49591376,233.72738688,412.38840703,0.49800847,0.14914045,0.08490113,0.06423932,0.35285108
545,5.72000000,66.65567227,-16.87922938,84.37216498,-9.39477717,462.65333194,309.59422807,256.57830156,233.81779751,412.91859157,0.49736964,0.14903585,0.08483440,0.06420146,0.35359450
546,5.73000000,66.70670142,-16.88288330,84.49598056,-9.43094266,462.72502126,309.70209763,256.66047342,233.90796527,413.44776086,0.49673247,0.14893132,0.08476773,0.06416359,0.35433621
547,5.74000000,66.75764957,-16.88652401,84.61976807,-9.46713154,462.79650973,309.80968199,256.74243009,233.99789104,413.97592000,0.49609695,0.14882685,0.08470114,0.06412571,0.35507620
548,5.75000000,66.80851694,-16.89015156,84.74352759,-9.50334375,462.86779810,309.91698216,256.82417231,234.08757567,414.50307401,0.49546306,0.14872244,0.08463462,0.06408782,0.35581450
549,5.76000000,66.85930371,-16.89376603,84.86725920,-9.53957922,462.93888712,310.02399912,256.90570081,234.17702002,415.02922789,0.49483080,0.14861809,0.08456818,0.06404992,0.35655110
550,5.77000000,66.91001009,-16.89736746,84.99096298,-9.57583788,463.00977755,310.13073385,256.98701632,234.26622496,415.55438659,0.49420018,0.14851381,0.08450180,0.06401201,0.35728602
551,5.78000000,66.96063628,-16.90095591,85.11463901,-9.61211967,463.08047013,310.23718734,257.06811957,234.35519132,416.07855503,0.49357116,0.14840958,0.08443549,0.06397409,0.35801925
552,5.79000000,67.01118249,-16.90453145,85.23828736,-9.64842453,463.15096560,310.34336057,257.14901129,234.44391996,416.60173808,0.49294377,0.14830542,0.08436926,0.06393616,0.35875081
553,5.80000000,67.06164890,-16.90809413,85.36190811,-9.68475239,463.22126470,310.44925448,257.22969220,234.53241172,417.12394056,0.49231797,0.14820133,0.08430310,0.06389823,0.35948070
554,5.81000000,67.11203573,-16.91164401,85.48550134,-9.72110318,463.29136817,310.55487006,257.31016301,234.62066744,417.64516728,0.49169378,0.14809729,0.08423700,0.06386029,0.36020893
555,5.82000000,67.16234316,-16.91518115,85.60906712,-9.75747685,463.36127673,310.66020826,257.39042444,234.70868793,418.16542299,0.49107118,0.14799332,0.08417098,0.06382234,0.36093550
556,5.83000000,67.21257140,-16.91870560,85.73260553,-9.79387332,463.43099110,310.76527002,257.47047719,234.79647404,418.68471241,0.49045017,0.14788942,0.08410503,0.06378439,0.36166042
557,5.84000000,67.26272064,-16.92221743,85.85611664,-9.83029255,463.50051201,310.87005631,257.55032197,234.88402659,419.20304021,0.48983073,0.14778558,0.08403915,0.06374642,0.36238369
558,5.85000000,67.31279107,-16.92571668,85.97960054,-9.86673445,463.56984016,310.97456806,257.62995948,234.97134639,419.72041103,0.48921287,0.14768180,0.08397334,0.06370845,0.36310533
559,5.86000000,67.36278290,-16.92920342,86.10305729,-9.90319898,463.63897628,311.07880620,257.70939043,235.05843426,420.23682949,0.48859658,0.14757809,0.08390761,0.06367048,0.36382534
560,5.87000000,67.41269632,-16.93267770,86.22648697,-9.93968607,463.70792108,311.18277168,257.78861550,235.14529100,420.75230014,0.48798184,0.14747444,0.08384194,0.06363250,0.36454372
561,5.88000000,67.46253152,-16.93613958,86.34988966,-9.97619565,463.77667524,311.28646542,257.86763538,235.23191743,421.26682752,0.48736867,0.14737086,0.08377634,0.06359451,0.36526048
562,5.89000000,67.51228869,-16.93958911,86.47326543,-10.01272767,463.84523949,311.38988835,257.94645077,235.31831434,421.78041613,0.48675704,0.14726734,0.08371082,0.06355652,0.36597562
563,5.90000000,67.56196803,-16.94302634,86.59661434,-10.04928207,463.91361450,311.49304137,258.02506234,235.40448253,422.29307041,0.48614695,0.14716389,0.08364537,0.06351852,0.36668916
564,5.91000000,67.61156973,-16.94645134,86.71993649,-10.08585878,463.98180097,311.59592541,258.10347077,235.49042279,422.80479481,0.48553840,0.14706050,0.08357998,0.06348052,0.36740110
