,nB/n0,sigma field (MeV),rho field (MeV),omega field (MeV),phi field (MeV),Neutron kF (MeV),Proton kF (MeV),electron kF (MeV),Lambda kF (MeV),Sigma_0 kF (MeV),Neutron frac,Proton frac,electron frac,Lambda frac,Sigma_0 frac
351,3.78000000,54.54236889,-17.27969569,59.12644984,-3.39996142,445.72123740,259.86626686,259.86626686,294.25709221,0.00000000,0.67298658,0.13337245,0.13337245,0.19364097,0.00000000
352,3.79000000,54.61414403,-17.28986311,59.25660567,-3.43084313,445.85411983,260.05096279,260.05096279,295.14531693,0.00000000,0.67181139,0.13330438,0.13330438,0.19488423,0.00000000
353,3.80000000,54.68577985,-17.29998366,59.38670727,-3.46177004,445.98647796,260.23503748,260.23503748,296.02951543,0.00000000,0.67064038,0.13323611,0.13323611,0.19612351,0.00000000
354,3.81000000,54.75727689,-17.31005766,59.51675499,-3.49274185,446.11831560,260.41849494,260.41849494,296.90973592,0.00000000,0.66947352,0.13316765,0.13316765,0.19735883,0.00000000
355,3.82000000,54.82863566,-17.32008547,59.64674914,-3.52375830,446.24963651,260.60133911,260.60133911,297.78602565,0.00000000,0.66831081,0.13309900,0.13309900,0.19859019,0.00000000
356,3.83000000,54.89985670,-17.33006743,59.77669003,-3.55481913,446.38044440,260.78357387,260.78357387,298.65843099,0.00000000,0.66715221,0.13303017,0.13303017,0.19981762,0.00000000
357,3.84000000,54.97094050,-17.34000385,59.90657800,-3.58592408,446.51074294,260.96520306,260.96520306,299.52699743,0.00000000,0.66599771,0.13296116,0.13296116,0.20104113,0.00000000
358,3.85000000,55.04188758,-17.34989508,60.03641334,-3.61707288,446.64053573,261.14623048,261.14623048,300.39176960,0.00000000,0.66484728,0.13289198,0.13289198,0.20226073,0.00000000
359,3.86000000,55.11269846,-17.35974143,60.16619636,-3.64826528,446.76982634,261.32665986,261.32665986,301.25279130,0.00000000,0.66370092,0.13282263,0.13282263,0.20347645,0.00000000
360,3.87000000,55.18337362,-17.36954322,60.29592736,-3.67950103,446.89861829,261.50649490,261.50649490,302.11010553,0.00000000,0.66255859,0.13275311,0.13275311,0.20468830,0.00000000
361,3.88000000,55.25391357,-17.37930078,60.42560664,-3.71077989,447.02691506,261.68573925,261.68573925,302.96375446,0.00000000,0.66142029,0.13268342,0.13268342,0.20589629,0.00000000
